id,days,mature,views,partner,new_id
73045350,1459,FALSE,9528,FALSE,2299
61573865,1629,TRUE,3615,FALSE,153
171688860,411,TRUE,46546,FALSE,397
117338954,953,TRUE,5863,FALSE,5623
135804217,741,TRUE,5594,FALSE,5875
50273956,1820,FALSE,4594,FALSE,3346
40189534,2070,FALSE,18460,FALSE,6930
126853728,846,TRUE,204,FALSE,6367
118869338,936,TRUE,1064,FALSE,1434
115599547,973,FALSE,313084,FALSE,4470
94973589,1198,FALSE,791,FALSE,5122
113241013,993,TRUE,364,FALSE,4790
119663818,931,TRUE,3994,FALSE,4919
81085785,1354,FALSE,3956,FALSE,575
55592461,1720,FALSE,2833,FALSE,639
64700169,1573,TRUE,16054,FALSE,7012
36174401,2219,FALSE,3950,FALSE,6445
38079222,2142,TRUE,89458,TRUE,1170
13233251,3039,TRUE,115054,FALSE,326
59321650,1664,FALSE,657,FALSE,4956
63652371,1591,TRUE,29158,FALSE,2639
177106387,368,TRUE,25085,FALSE,5028
106526921,1069,TRUE,8917,FALSE,6277
41418023,2035,TRUE,3011,FALSE,6784
154501248,535,TRUE,8482,FALSE,49
73421195,1450,FALSE,95722,FALSE,4526
55682420,1718,FALSE,3930,FALSE,4108
27953914,2441,FALSE,9733,FALSE,1171
51992513,1784,FALSE,4828,FALSE,2568
96302101,1179,TRUE,10775,FALSE,5731
139120746,702,TRUE,21793,FALSE,1760
26770546,2495,TRUE,574,FALSE,6707
44946167,1938,FALSE,11980,FALSE,2019
46597630,1895,TRUE,770,FALSE,634
25651842,2492,TRUE,1568,FALSE,4670
51730005,1790,TRUE,31841,FALSE,2399
60961830,1638,FALSE,261,FALSE,5737
70524636,1500,FALSE,18318,FALSE,6974
37699144,2158,FALSE,1607,FALSE,6919
137265740,725,TRUE,1725,FALSE,240
50590583,1814,FALSE,1639,FALSE,5646
46373336,1910,TRUE,3315,FALSE,158
187385098,289,TRUE,2733,FALSE,3298
38904740,2106,FALSE,1294,FALSE,2354
141462246,673,FALSE,14678,FALSE,1161
45846901,1921,TRUE,488224,TRUE,1869
126378005,853,TRUE,8138,FALSE,3499
101102471,1138,FALSE,3403,FALSE,5655
119664707,924,TRUE,758,FALSE,5295
28588067,2385,TRUE,859,FALSE,6468
40297287,2063,FALSE,3221,FALSE,3872
45396907,1931,FALSE,212170,TRUE,5676
153231390,547,FALSE,2264,FALSE,72
30934283,2313,FALSE,1224,FALSE,544
130705044,804,TRUE,5573,FALSE,4228
44193440,1959,TRUE,3420,FALSE,2430
76748966,1405,FALSE,106623,FALSE,2677
27788634,2447,TRUE,798,FALSE,576
30796517,2315,FALSE,8926,FALSE,5986
158523868,498,FALSE,759,FALSE,3707
55576507,1712,TRUE,2759,FALSE,809
46839359,1899,FALSE,1458,FALSE,593
198743760,224,TRUE,1178,FALSE,2456
113655358,993,FALSE,1572,FALSE,6911
38182598,2139,TRUE,10500,FALSE,3362
183599062,310,TRUE,1975,FALSE,7101
97910651,1168,TRUE,6442,FALSE,7060
28230732,2406,FALSE,6599,FALSE,6080
159806569,489,TRUE,9063,FALSE,5771
130741145,806,FALSE,21768,FALSE,5914
74956100,1431,TRUE,16987,FALSE,6794
45653700,1892,TRUE,447,FALSE,3361
27204176,2469,TRUE,899,FALSE,3260
53706043,1754,TRUE,7496,FALSE,936
162259716,466,FALSE,4223,FALSE,3837
26065098,2439,TRUE,1345,FALSE,2233
39528871,2091,FALSE,127832,FALSE,4568
30760903,2302,TRUE,494,FALSE,3468
41759342,2025,FALSE,22502,FALSE,5540
52410632,1751,TRUE,599,FALSE,6304
126213661,828,TRUE,449,FALSE,3284
986316,3735,FALSE,8278,FALSE,1376
52406992,1774,TRUE,56645,FALSE,4702
98115351,1160,TRUE,1837,FALSE,6480
112671989,1003,TRUE,10975,FALSE,5021
46251236,1912,TRUE,40349,FALSE,6756
107155092,1057,TRUE,25515,FALSE,2533
133461737,768,TRUE,3105,FALSE,6062
24606188,2578,FALSE,1509,FALSE,5956
55768163,1717,TRUE,311606,TRUE,5768
142135109,663,TRUE,9416,FALSE,1636
90967590,1246,TRUE,8299,FALSE,1524
136137957,737,TRUE,704,FALSE,1385
24641838,2591,TRUE,3306,FALSE,119
82483683,1338,TRUE,6897,FALSE,3213
25389284,2555,TRUE,10240,FALSE,4487
30904326,2327,FALSE,17408,FALSE,839
41367478,2037,TRUE,22721,FALSE,6165
42470081,2007,FALSE,4732,FALSE,1150
104269486,1096,TRUE,15826,FALSE,701
61149392,1638,FALSE,6493,FALSE,1794
142615676,654,TRUE,379,FALSE,3998
151661794,564,FALSE,178,FALSE,4923
82429193,1339,TRUE,10528,FALSE,542
57851805,1688,FALSE,3677,FALSE,7074
42526575,2004,TRUE,36040,FALSE,4315
48677453,1861,TRUE,110677,FALSE,1481
65191114,1562,FALSE,12084,FALSE,5915
135579899,744,TRUE,17101,FALSE,948
73631643,1436,FALSE,8645,FALSE,799
92666584,1226,TRUE,10316,FALSE,6513
43664324,1973,TRUE,57649,FALSE,413
30941898,2310,TRUE,886,FALSE,3811
26869615,2489,FALSE,104481,FALSE,7055
53481968,1749,TRUE,1950,FALSE,1923
61403410,1634,TRUE,3904,FALSE,5383
56480230,1688,TRUE,2054,FALSE,1920
182558872,322,FALSE,2157,FALSE,3555
42745283,1999,FALSE,4014190,FALSE,6861
135795112,739,TRUE,438,FALSE,1893
41229739,2040,TRUE,82304,FALSE,5490
128508995,823,FALSE,2187,FALSE,3977
145755693,612,TRUE,1227,FALSE,2265
39601744,2088,TRUE,17570,FALSE,661
133638293,752,TRUE,8453,FALSE,4449
77164009,1398,FALSE,61009,FALSE,5038
170982552,414,FALSE,107,FALSE,6720
74424814,1398,TRUE,1079,FALSE,3714
48693886,1858,FALSE,1094,FALSE,260
91580306,1240,FALSE,1400701,TRUE,4330
45900828,1918,FALSE,8041,FALSE,3957
158486415,499,TRUE,153891,FALSE,1664
40114747,2073,FALSE,3090544,TRUE,3209
36107599,2222,TRUE,7036,FALSE,5888
59348682,1655,TRUE,880,FALSE,2453
52687879,1770,FALSE,11545,FALSE,5720
67338349,1539,FALSE,2279,FALSE,38
41235194,2023,FALSE,18299,FALSE,5594
83814565,1323,TRUE,841,FALSE,4460
45346102,1931,TRUE,2477,FALSE,4958
201638075,218,TRUE,800,FALSE,77
117449214,954,TRUE,13295,FALSE,6752
72679038,1371,TRUE,996,FALSE,6945
71803291,1449,TRUE,1480,FALSE,3678
130549844,807,TRUE,6958,FALSE,875
15802512,2929,TRUE,30319,FALSE,3551
120596231,918,FALSE,3694,FALSE,4273
104167481,1096,FALSE,562,FALSE,6220
141684107,669,TRUE,584,FALSE,4999
182741349,322,TRUE,1810,FALSE,4537
32277575,2275,TRUE,33500,FALSE,465
31288652,2304,TRUE,4364,FALSE,4971
141441224,610,TRUE,985,FALSE,6276
100611944,1143,TRUE,19916,FALSE,2540
177460855,365,TRUE,186,FALSE,2412
107417318,1054,FALSE,1012,FALSE,1596
97239743,1174,FALSE,4462,FALSE,1766
21615575,2743,FALSE,676893,TRUE,6077
51238570,1706,TRUE,1361,FALSE,2433
10849095,3111,FALSE,6075,FALSE,1206
148853225,578,TRUE,695,FALSE,1922
190364784,269,TRUE,1801,FALSE,2933
194016872,244,TRUE,2983,FALSE,6007
41313965,2038,TRUE,39809,FALSE,4230
40258013,2068,TRUE,4848,FALSE,6556
46405794,1878,TRUE,14873,FALSE,2675
29758589,2338,FALSE,804,FALSE,2203
32092639,2279,TRUE,7125,FALSE,5471
37953775,2113,FALSE,1302,FALSE,3593
175557019,367,FALSE,555,FALSE,1019
1234937,3720,FALSE,13545,FALSE,257
58262351,1647,TRUE,2046,FALSE,366
23693840,2634,TRUE,1852325,TRUE,1063
112031145,1002,TRUE,2165,FALSE,5924
100646986,1142,FALSE,11398,FALSE,27
24753169,2588,FALSE,9279,FALSE,6240
29567435,2379,TRUE,4896,FALSE,7022
181993475,324,TRUE,1678,FALSE,0
30300163,2328,TRUE,581,FALSE,2603
108239771,1048,TRUE,13065,FALSE,2993
28078671,2421,FALSE,1199,FALSE,5522
42358143,2005,FALSE,1608,FALSE,2309
42854226,1974,TRUE,622,FALSE,4815
42434667,2000,FALSE,706,FALSE,36
66123312,1554,FALSE,3076,FALSE,5984
56363475,1707,TRUE,3648,FALSE,1037
44669665,1935,FALSE,140,FALSE,2915
59116168,1669,TRUE,4888,FALSE,1122
43947695,1966,FALSE,104909,TRUE,2435
15768465,2930,TRUE,4481,FALSE,2990
23993572,2618,TRUE,1815,FALSE,6859
31477467,2306,TRUE,11904,FALSE,1590
152765403,552,FALSE,41082,FALSE,422
38102143,2137,FALSE,2201,FALSE,4000
51433205,1795,TRUE,52780,FALSE,1603
122270817,703,FALSE,1463,FALSE,5767
100092071,1147,TRUE,3461,FALSE,911
143007585,634,FALSE,431,FALSE,3316
102619452,1116,FALSE,322,FALSE,2747
60675562,1644,FALSE,7997,FALSE,2361
70703102,1497,TRUE,22413,FALSE,2599
40208875,2070,FALSE,4290,FALSE,1048
39103201,2104,TRUE,2115,FALSE,4710
67892498,1524,FALSE,4380,FALSE,6937
127740035,836,FALSE,4073,FALSE,1247
82792695,1297,TRUE,165,FALSE,1817
61568189,1612,TRUE,26426,FALSE,5815
38175148,2122,FALSE,2190,FALSE,172
13400396,3029,FALSE,2391,FALSE,6332
27901711,2445,TRUE,1680,FALSE,7015
215185723,151,TRUE,620,FALSE,6325
95010215,1197,TRUE,2171,FALSE,6843
31009602,2322,TRUE,12175,FALSE,393
122765860,897,TRUE,698,FALSE,222
40561648,2052,FALSE,2682,FALSE,4817
38298868,2132,TRUE,1622,FALSE,4055
50420698,1815,FALSE,1429,FALSE,3026
59204658,1668,TRUE,54943,FALSE,3968
78390324,1382,FALSE,15573,FALSE,3412
30433161,2344,FALSE,662,FALSE,3446
40016072,2074,FALSE,4011,FALSE,2693
60532427,1647,TRUE,2342,FALSE,4473
28902752,2393,TRUE,8989,FALSE,579
37470767,2166,FALSE,758,FALSE,225
68722489,1523,FALSE,8186,FALSE,3409
40035893,2060,TRUE,2388,FALSE,4190
28820491,2408,TRUE,3645,FALSE,437
82687084,1336,TRUE,40048,FALSE,6479
134926652,754,TRUE,73881,FALSE,1846
73870042,1445,TRUE,32935,FALSE,6989
108574489,1044,TRUE,4798,FALSE,6086
24318395,2606,TRUE,44010,FALSE,1900
32552267,2238,TRUE,5361,FALSE,5884
161183991,477,TRUE,2854,FALSE,6296
38993511,2108,FALSE,10697,FALSE,6009
75663626,1420,TRUE,9300,FALSE,956
97763904,1170,FALSE,4482,FALSE,234
64367787,1581,FALSE,313,FALSE,4904
37931174,2122,TRUE,94519,FALSE,5703
135965250,739,FALSE,2377,FALSE,6830
68195518,1378,TRUE,1160,FALSE,6710
190075920,266,TRUE,2982,FALSE,2149
